ID,Restaurant,Address,Time,Price,District,min_price,max_price,avg_price,negative_deliver,negative_food,negative_price,negative_staff,negative_store,neutral_deliver,neutral_food,neutral_price,neutral_staff,neutral_store,positive_deliver,positive_food,positive_price,positive_staff,positive_store,Rating
40,Quán Giá Hẹ - Cơm Sườn & Hủ Tiếu,"269 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,30.000 - 45.000,Quận 1,30000,45000,37500.0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,6.666666666666667
41,Bún Chả Phố Hàng Quạt,"271 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",06:15 - 22:00,8.000 - 42.000,Quận 1,8000,42000,25000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.4
42,Bánh Mì Chả Cá - Bùi Thị Xuân - Chi Nhánh 1,"77G Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 12.000,Quận 1,10000,12000,11000.0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,6.84
43,Bún Chả Bà Bính - Nguyễn Trung Ngạn,"5/4 Nguyễn Trung Ngạn, P. Bến Nghé, Quận 1, TP. HCM",07:00 - 21:00,50.000 - 60.000,Quận 1,50000,60000,55000.0,0,1,1,0,0,0,1,0,0,0,0,7,0,0,0,6.5
44,Vũ Trụ Mì Trộn - Nguyẽn Văn Giai,"34 Nguyễn Văn Giai, P. Đa Kao, Quận 1, TP. HCM",,29.000 - 65.000,Quận 1,29000,65000,47000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.4
46,Quán Ăn Huế O Xuân,"22 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",,15.000 - 44.000,Quận 1,15000,44000,29500.0,0,15,0,1,0,0,9,0,0,0,0,75,0,0,0,6.6160000000000005
47,Bà Xã Vegan - Nhà Hàng Chay - Pasteur,"178/4 Pasteur, P. Bến Nghé, Quận 1, TP. HCM",,40.000 - 100.000,Quận 1,40000,100000,70000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0
48,Há Cảo Ngọc Lan - Trần Đình Xu,"35/11A Trần Đình Xu, Quận 1, TP. HCM",07:00 - 12:30 | 14:10 - 20:10,7.000 - 20.000,Quận 1,7000,20000,13500.0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,8.511111111111111
49,Bánh Mì Grandma Lu - Cô Bắc,"41 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",06:30 - 21:00,20.000 - 50.000,Quận 1,20000,50000,35000.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7.5200000000000005
50,Lộc Ký - Mì Vịt Tiềm - 86 Đề Thám,"86 Đề Thám, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,0 - 0,Quận 1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
51,Nem Nướng D'ran Since 1968 - Healthy & Fresh - Nguyễn Trãi,"212B/D13 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,40.000 - 70.000,Quận 1,40000,70000,55000.0,0,0,0,0,0,0,3,0,0,0,0,97,0,0,0,9.02
52,Pao Bến Thành - Phó Đức Chính,"84 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM",,5.000 - 50.000,Quận 1,5000,50000,27500.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7.4
53,A Tài - Bún Thịt Nướng - Nguyễn Văn Thủ,"152 Đường Nguyễn Văn Thủ, P. Đa Kao, Quận 1, TP. HCM",06:00 - 22:00,20.000 - 30.000,Quận 1,20000,30000,25000.0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,5.233333333333333
54,Mì Ý A Hoài Spaghetti - Không Chi Nhánh - 55/3B Trần Đình Xu Quận 1,"55/3B Trần Đình Xu, P. Cầu Kho, Quận 1, TP. HCM",,35.000 - 215.000,Quận 1,35000,215000,125000.0,0,2,0,0,0,0,1,0,0,0,0,14,1,0,0,7.311111111111111
55,Daiichi - Ramen & Curry - Thái Văn Lung,"8A/2B2 Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 180.000,Quận 1,10000,180000,95000.0,0,0,0,0,0,1,1,0,0,0,0,49,0,0,0,8.227450980392158
56,Dimsum Homemade - Há Cảo Đặc Biệt - Trần Khắc Chân,"77 Trần Khắc Chân, Quận 1, TP. HCM",,30.000 - 30.000,Quận 1,30000,30000,30000.0,3,15,0,0,0,1,16,0,0,0,1,64,0,0,0,5.916
57,Phở Thìn By Sol - Hải Triều,"27 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 500.000,Quận 1,20000,500000,260000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6
58,Fua Chảy Tiêm - Bún Gạo Singapore & Pad Thái - Hoàng Sa,"127 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",,15.000 - 60.000,Quận 1,15000,60000,37500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
59,Bánh Mì Bảy Hổ,"19 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",05:15 - 20:15,10.000 - 20.000,Quận 1,10000,20000,15000.0,0,1,0,0,0,0,1,0,0,0,0,27,0,0,0,7.36551724137931
60,Clover Korean House Food,"2/2 Phan Liêm, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 61.000,Quận 1,20000,61000,40500.0,0,6,0,0,0,1,8,0,0,0,0,80,1,4,0,7.167999999999999
61,BEAR KHOAI - Khoai Tây Chiên Gà Chiên Sốt Nhiều Vị - Trần Khắc Chân,"89 Trần Khắc Chân, P. Tân Định, Quận 1, TP. HCM",,0 - 0,Quận 1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.8
62,Vạn Quán - Lẩu Gà Lá É - Cô Giang,"45 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,30.000 - 300.000,Quận 1,30000,300000,165000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10.0
63,Bún Bò Huế Nam Giao - Đề Thám,"242 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",07:00 - 23:00,25.000 - 55.000,Quận 1,25000,55000,40000.0,0,14,0,0,0,1,9,0,0,0,0,60,0,0,0,6.79047619047619
64,Ốc Bắc Mình Ơi Q1 - Hồ Hảo Hớn,"62A Hồ Hảo Hớn, P. Cô Giang, Quận 1, TP. HCM",,20.000 - 90.000,Quận 1,20000,90000,55000.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8.6
65,Thế Giới Tàu Hũ - Trần Đình Xu,"122D Trần Đình Xu, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 44.000,Quận 1,10000,44000,27000.0,0,11,1,0,0,0,13,1,0,0,0,74,0,0,0,6.414
66,Gà Rán & Burger McDonald's Nguyen Hue,"123 - 125 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",,25.000 - 80.000,Quận 1,25000,80000,52500.0,1,4,0,1,0,2,5,0,0,0,0,87,0,0,0,7.47
67,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Nguyễn Thị Minh Khai,"25/5 Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,19.000 - 79.000,Quận 1,19000,79000,49000.0,0,9,1,1,0,0,9,0,0,0,0,50,0,0,0,8.037142857142857
68,Thành Đạt - Hủ Tiếu Nam Vang - Phạm Ngũ Lão,"239 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,35.000 - 50.000,Quận 1,35000,50000,42500.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.1
69,Gà Rán KFC - Lê Lai,"78 Lê Lai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,30.000 - 88.000,Quận 1,30000,88000,59000.0,0,7,0,0,0,0,6,0,1,0,2,65,0,5,0,6.78139534883721
70,Little Bodhi Tree Saigon - Nhà Hàng Chay,"185/16 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,400.000 - 700.000,Quận 1,400000,700000,550000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
71,Vịt Quay Huỳnh Ký - Cầu Bông,"2 Bis Trần Quang Khải, Quận 1, TP. HCM",06:00 - 20:45,100.000 - 220.000,Quận 1,100000,220000,160000.0,0,9,0,0,0,1,3,0,0,0,0,36,0,1,0,5.516
72,"Quán Bà Ba - Hủ Tiếu, Mỳ & Bánh Mì Bò Kho","275D/5 Phạm Ngũ Lão, Quận 1, TP. HCM",,40.000 - 40.000,Quận 1,40000,40000,40000.0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9.285714285714286
73,Miến Cua 94 - Chính Gốc,"94 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,50.000 - 110.000,Quận 1,50000,110000,80000.0,0,12,2,0,0,1,11,0,0,0,0,48,0,0,0,6.032432432432432
74,Bún Bò Hoàng Kim - Bò Kho Bánh Mì & Hủ Tiếu Bò Kho - Tôn Thất Đạm,"119 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",06:30 - 21:15,30.000 - 45.000,Quận 1,30000,45000,37500.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9.5
75,CoCo Ichibanya - Lý Tự Trọng,"13 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",,48.000 - 153.000,Quận 1,48000,153000,100500.0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,8.523076923076923
76,"Bánh Bao, Há Cảo & Xíu Mại - Đề Thám","57A Đề Thám, P. Cô Giang, Quận 1, TP. HCM",,10.000 - 30.000,Quận 1,10000,30000,20000.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8.95
77,Cô Thảo Tôm Cá - Cá Hồi Ngâm Tương - Trần Đình Xu,"42/2 Trần Đình Xu, P. Cô Giang, Quận 1, TP. HCM",,0 - 0,Quận 1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
78,Phở 24 - Nguyễn Văn Chiêm,"9 Nguyễn Văn Chiêm, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:45,20.000 - 30.000,Quận 1,20000,30000,25000.0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,7.114285714285714
79,Ăn Vặt RIO - Shop Online,"95/34 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",,80.000 - 300.000,Quận 1,80000,300000,190000.0,0,3,0,0,0,0,1,0,0,0,0,7,0,0,0,7.418181818181818
80,Bún Riêu & Canh Bún - Cống Quỳnh,"B1-02 Chung Cư 189B, Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,20000,60000,40000.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10.0
81,Cô Bông - Bún Mắm - Chợ Tân Định,"Đối Diện 125 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",05:30 - 17:00,35.000 - 45.000,Quận 1,35000,45000,40000.0,0,2,0,0,0,0,1,0,0,0,0,12,0,0,0,7.92
82,Cơm Tấm Thuận Kiều - Tôn Thất Tùng,"26 Tôn Thất Tùng, P. Bến Thành, Quận 1, TP. HCM",07:00 - 20:20,25.000 - 275.000,Quận 1,25000,275000,150000.0,0,8,0,0,0,0,6,0,0,0,0,23,0,0,0,5.562162162162163
83,Bún Mọc Thanh Mai - Chợ Bến Thành,"14 Trương Định, P. Bến Thành, Quận 1, TP. HCM",05:30 - 14:15,40.000 - 66.000,Quận 1,40000,66000,53000.0,0,17,0,1,0,3,12,0,0,0,0,66,0,1,0,6.652
84,Bún Chả Hà Nội 1982 - Đinh Tiên Hoàng,"18 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,35.000 - 50.000,Quận 1,35000,50000,42500.0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6.266666666666667
85,Bánh Mì A Vĩ - Nguyễn Cảnh Chân,"TK44/2 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",05:30 - 14:00 | 16:00 - 23:00,4.000 - 45.000,Quận 1,4000,45000,24500.0,1,8,0,0,0,0,6,0,0,0,0,22,0,0,0,6.556756756756757
86,RikaDon - Cơm Thịt Nướng Nhật Bản - Trần Khánh Dư,"53/46 Trần Khánh Dư, P. Tân Định, Quận 1, TP. HCM",,0 - 0,Quận 1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
87,Miến Phở Gà 43 Mạc Đĩnh Chi - Trần Cao Vân,"Số 9 Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",05:40 - 20:38,50.000 - 110.000,Quận 1,50000,110000,80000.0,0,3,1,1,0,0,2,0,0,0,0,12,0,0,0,6.231578947368422
88,Milo Dầm - Chung Cư 42,"Tầng Trệt, Tầng Trệt Chung Cư 42, 42 Tôn Thất Hiệp, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 30.000,Quận 1,20000,30000,25000.0,1,3,0,0,0,0,2,0,1,0,0,9,0,0,0,5.5249999999999995
89,Hủ Tiếu Nam Vang & Mì Bò Viên A Sìn,"212/325A Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",,45.000 - 86.000,Quận 1,45000,86000,65500.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10.0
90,Hảo Ký Mì Gia - Hủ Tiếu Xào - Đinh Công tráng,"67H/1 Đinh Công Tráng. P. Tân Định, Quận 1, TP. HCM",07:00 - 22:30,0 - 0,Quận 1,0,0,0.0,0,2,0,0,0,0,8,1,0,0,0,45,0,0,0,9.282142857142857
91,Kibi - Bánh Gạo Lắc - Cô Giang,"50 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 25.000,Quận 1,15000,25000,20000.0,0,1,0,0,0,0,2,0,0,0,1,27,0,1,0,7.1625000000000005
92,Cơm Niêu Thiên Lý - Nguyễn Đình Chiểu,"16 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 100.000,Quận 1,20000,100000,60000.0,0,8,0,0,0,0,5,0,0,0,0,85,1,1,0,7.626
93,Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",,0 - 20.000,Quận 1,0,20000,10000.0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,7.345454545454545
94,Hai Thuận - Bún Cay Thái & Mì Trộn - Đề Thám,"155 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",,30.000 - 60.000,Quận 1,30000,60000,45000.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9.7
95,Bánh Tráng Muối NPT Food - Nguyễn Công Trứ,"372 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10000,100000,55000.0,0,4,0,0,0,0,1,0,0,0,0,6,0,0,0,6.6
96,"Cơm Gà, Mẹt Gà, Gỏi - Gà Ta Ngon Số 1 – 226 Đinh Tiên Hoàng","226 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 200.000,Quận 1,20000,200000,110000.0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7.733333333333333
97,Chewy Chewy - Cafe & Bánh - Trần Hưng Đạo,"34 Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,20000,60000,40000.0,1,16,2,0,0,1,9,0,0,0,0,70,1,0,0,6.726
98,MATSURI - Japanese Restaurant - Pasteur,"180A Pasteur, P. Bến Thành, Quận 1, TP. HCM",,0 - 0,Quận 1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9.600000000000001
99,Sukiya - Cơm Bò Hầm & Mì Ramen - Thái Văn Lung,"10Ab Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",,15.000 - 99.000,Quận 1,15000,99000,57000.0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,6.5
101,Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,"166 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 45.000,Quận 1,10000,45000,27500.0,0,3,0,0,0,1,6,0,0,0,0,86,1,3,0,7.6579999999999995
102,Nao Ăn Uống Ngay Nào - Trần Hưng Đạo,"Hẻm 391 TK 43/2 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",,16.000 - 68.000,Quận 1,16000,68000,42000.0,0,13,0,0,0,0,4,0,0,0,0,64,0,0,0,7.202469135802469
103,Miến Lươn Thanh Thảo - Lý Tự Trọng,"176/13 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",05:30 - 12:45,50.000 - 132.000,Quận 1,50000,132000,91000.0,0,4,0,0,0,0,5,0,0,0,0,16,0,0,0,6.432
